source_url,room_count,pricerange,postcode,address_line,name,locality,country,longitude,rating_summary,state,amenities,stars,latitude,traveler_rating,alternative_names
http://www.tripadvisor.com/Hotel_Review-g59900-d534304-Reviews-Roche_A_Cri_State_Park-Friendship_Wisconsin.html,41,$,53934,1767 Hwy 13,Roche-A-Cri State Park,Friendship,,-89.812332,"[(u'Rooms', u'1 of 5 stars'), (u'Location', u'1 of 5 stars'), (u'Sleep Quality', u'1 of 5 stars'), (u'Service', u'1 of 5 stars'), (u'Value', u'1 of 5 stars'), (u'Cleanliness', u'1 of 5 stars')]",WI,,4.0,44.000935,"[(u'Excellent', u'3'), (u'Very good', u'3'), (u'Average', u'0'), (u'Poor', u'0'), (u'Terrible', u'1')]",
http://www.tripadvisor.com/Hotel_Review-g59727-d1629141-Reviews-Lake_Mason_Campground-Briggsville_Wisconsin.html,1,,53920,4035 1st Ln,Lake Mason Campground,Briggsville,,-89.619949,,WI,,5.0,43.666363,,Lake Mason Campground Hotel Briggsville
http://www.tripadvisor.com/Hotel_Review-g38556-d1639222-Reviews-Grove_House-Baldwin_City_Kansas.html,9,,66006,807 Grove St,Grove House,Baldwin City,,-95.189377,,KS,,,38.775970,,
http://www.tripadvisor.com/Hotel_Review-g46122-d567321-Reviews-Squam_Lake_Inn-Holderness_New_Hampshire.html,9,$$,03245,28 Shepard Hill Road,Squam Lake Inn,Holderness,,-71.581940,"[(u'Location', u'4.5 of 5 stars'), (u'Sleep Quality', u'4.5 of 5 stars'), (u'Rooms', u'4.5 of 5 stars'), (u'Service', u'5 of 5 stars'), (u'Value', u'4.5 of 5 stars'), (u'Cleanliness', u'5 of 5 stars')]",NH,"Free Parking,Free Internet,Restaurant,Free Breakfast,Bar/Lounge",4.5,43.730278,"[(u'Excellent', u'112'), (u'Very good', u'16'), (u'Average', u'5'), (u'Poor', u'1'), (u'Terrible', u'2')]",Squam Lake Hotel Holderness
http://www.tripadvisor.com/Hotel_Review-g44710-d6936799-Reviews-Holiday_Inn_Express_Suites_Nevada-Nevada_Missouri.html,68,$,64772,311 S. Johnson Dr,Holiday Inn Express & Suites Nevada,Nevada,,-94.324242,"[(u'Location', u'5 of 5 stars'), (u'Sleep Quality', u'3.5 of 5 stars'), (u'Rooms', u'4.5 of 5 stars'), (u'Service', u'4.5 of 5 stars'), (u'Value', u'5 of 5 stars'), (u'Cleanliness', u'5 of 5 stars')]",MO,"Pool,Free High Speed Internet ( WiFi ),Fitness Center with Gym / Workout Room",4.0,37.833878,"[(u'Excellent', u'11'), (u'Very good', u'2'), (u'Average', u'0'), (u'Poor', u'1'), (u'Terrible', u'2')]",
http://www.tripadvisor.com/Hotel_Review-g46378-d7113839-Reviews-Crystal_Springs_Wilderness_Lodges_RV_Resort-Cream_Ridge_New_Jersey.html,57,$,08514,724 Monmouth Road,Crystal Springs Wilderness Lodges & RV Resort,Cream Ridge,,-74.477264,"[(u'Location', u'5 of 5 stars'), (u'Rooms', u'5 of 5 stars'), (u'Service', u'5 of 5 stars'), (u'Value', u'5 of 5 stars'), (u'Cleanliness', u'5 of 5 stars')]",NJ,"Free Parking,Free High Speed Internet ( WiFi )",5.0,40.123451,"[(u'Excellent', u'2'), (u'Very good', u'0'), (u'Average', u'0'), (u'Poor', u'0'), (u'Terrible', u'0')]",
http://www.tripadvisor.com/Hotel_Review-g60933-d121635-Reviews-Crossroads_Motel-Albuquerque_New_Mexico.html,29,$,87106,1001 Central N.E.,Crossroads Motel,Albuquerque,,-106.635651,"[(u'Location', u'3.5 of 5 stars'), (u'Sleep Quality', u'2.5 of 5 stars'), (u'Rooms', u'2.5 of 5 stars'), (u'Service', u'2.5 of 5 stars'), (u'Value', u'2.5 of 5 stars'), (u'Cleanliness', u'2.5 of 5 stars')]",NM,"Free Parking,Pool,Free Internet",2.0,35.082962,"[(u'Excellent', u'0'), (u'Very good', u'3'), (u'Average', u'1'), (u'Poor', u'2'), (u'Terrible', u'7')]","Crossroads Hotel Albuquerque,Crossroad Motel"
http://www.tripadvisor.com/Hotel_Review-g46132-d1206229-Reviews-Colony_House_Bed_Breakfast-Keene_New_Hampshire.html,5,$$,03431,104 West Street,Colony House Bed & Breakfast,Keene,,-72.282272,"[(u'Location', u'5 of 5 stars'), (u'Sleep Quality', u'4.5 of 5 stars'), (u'Rooms', u'5 of 5 stars'), (u'Service', u'5 of 5 stars'), (u'Value', u'4.5 of 5 stars'), (u'Cleanliness', u'5 of 5 stars')]",NH,"Free Parking,Free High Speed Internet ( WiFi ),Free Breakfast",5.0,42.932819,"[(u'Excellent', u'25'), (u'Very good', u'4'), (u'Average', u'0'), (u'Poor', u'0'), (u'Terrible', u'0')]",
http://www.tripadvisor.com/Hotel_Review-g35488-d3308063-Reviews-A_One_Step_Away_Bed_Breakfast-Idaho_City_Idaho.html,4,,,112 Cottonwood St,A One Step Away Bed & Breakfast,Idaho City,,-115.835655,"[(u'Location', u'4 of 5 stars'), (u'Sleep Quality', u'3 of 5 stars'), (u'Rooms', u'3 of 5 stars'), (u'Service', u'3 of 5 stars'), (u'Value', u'3 of 5 stars'), (u'Cleanliness', u'3 of 5 stars')]",ID,,3.0,43.826588,"[(u'Excellent', u'1'), (u'Very good', u'0'), (u'Average', u'0'), (u'Poor', u'0'), (u'Terrible', u'1')]",
http://www.tripadvisor.com/Hotel_Review-g60607-d1467703-Reviews-Halana_Lodge-Volcano_Island_of_Hawaii_Hawaii.html,7,$$,96785,19-4789 Amaumau Road,Halana Lodge,Volcano,,-155.267410,"[(u'Sleep Quality', u'4 of 5 stars'), (u'Location', u'3.5 of 5 stars'), (u'Rooms', u'3.5 of 5 stars'), (u'Service', u'4 of 5 stars'), (u'Value', u'4 of 5 stars'), (u'Cleanliness', u'4 of 5 stars')]",HI,"Free Breakfast,Free High Speed Internet ( WiFi )",4.0,19.479408,"[(u'Excellent', u'7'), (u'Very good', u'6'), (u'Average', u'6'), (u'Poor', u'2'), (u'Terrible', u'0')]","Halana Lodge Volcano, Hawaii"
